category,region,mnari,pcfci,avg_kcalories,avg_ca(mg),avg_folate(mcg),avg_iron(mg),avg_niacin(mg),avg_riboflavin(mg),avg_thiamin(mg),avg_vita(mcg),avg_vitb12(mcg),avg_vitb6(mg),avg_zinc(mg),vcci,maize(mt),rice(mt),sorghum(mt),cassava(mt),millet(mt),commodity,price
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Cassava,10.0
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Maize,67.5
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Yam,130.0
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Plantains (Apentu),3.75
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Cassava,9.62
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Maize,51.3
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Millet,62.0
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Rice (Imported),54.25
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Sorghum,60.25
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Yam,142.5
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Maize,69.37
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Rice (Local),85.6
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Yam,137.5
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Plantains (Apentu),8.12
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Cassava,7.3
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Maize,79.3
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Maize,92.0
